iter	Passed	Remaining
1550	4998	4669
1551	5000	4665
1552	5003	4662
1553	5006	4658
1554	5008	4653
1555	5010	4649
1556	5013	4646
1557	5015	4642
1558	5018	4638
1559	5020	4634
1560	5023	4630
1561	5026	4627
1562	5028	4623
1563	5031	4619
1564	5033	4615
1565	5035	4611
1566	5038	4607
1567	5040	4603
1568	5043	4599
1569	5045	4595
1570	5048	4591
1571	5050	4588
1572	5053	4584
1573	5055	4580
1574	5058	4576
1575	5060	4572
1576	5062	4568
1577	5065	4564
1578	5068	4561
1579	5070	4557
1580	5073	4553
1581	5075	4549
1582	5078	4545
1583	5081	4542
1584	5083	4538
1585	5086	4534
1586	5088	4530
1587	5091	4526
1588	5092	4522
1589	5095	4518
1590	5097	4514
1591	5100	4511
1592	5103	4507
1593	5106	4504
1594	5111	4502
1595	5113	4498
1596	5116	4494
1597	5118	4491
1598	5121	4487
1599	5124	4483
1600	5126	4479
1601	5129	4476
1602	5132	4472
1603	5135	4469
1604	5137	4465
1605	5140	4461
1606	5142	4457
1607	5145	4454
1608	5148	4450
1609	5151	4447
1610	5153	4443
1611	5156	4439
1612	5158	4436
1613	5160	4431
1614	5162	4427
1615	5165	4423
1616	5167	4420
1617	5170	4416
1618	5173	4412
1619	5175	4408
1620	5178	4404
1621	5180	4401
1622	5183	4397
1623	5185	4393
1624	5188	4390
1625	5190	4386
1626	5193	4382
1627	5195	4378
1628	5198	4375
1629	5200	4371
1630	5203	4367
1631	5205	4363
1632	5208	4359
1633	5210	4356
1634	5213	4352
1635	5215	4348
1636	5217	4344
1637	5219	4340
1638	5222	4336
1639	5225	4332
1640	5227	4329
1641	5230	4325
1642	5231	4320
1643	5234	4317
1644	5236	4313
1645	5238	4309
1646	5241	4305
1647	5244	4302
1648	5246	4298
1649	5248	4294
1650	5251	4291
1651	5254	4287
1652	5256	4283
1653	5259	4279
1654	5261	4275
1655	5264	4272
1656	5266	4268
1657	5269	4264
1658	5271	4261
1659	5274	4257
1660	5276	4253
1661	5279	4250
1662	5282	4246
1663	5285	4243
1664	5288	4240
1665	5291	4237
1666	5295	4234
1667	5297	4230
1668	5300	4227
1669	5303	4223
1670	5306	4220
1671	5309	4217
1672	5312	4213
1673	5315	4210
1674	5318	4207
1675	5323	4205
1676	5327	4203
1677	5332	4200
1678	5335	4197
1679	5338	4194
1680	5341	4191
1681	5345	4188
1682	5349	4186
1683	5355	4185
1684	5358	4181
1685	5361	4178
1686	5364	4175
1687	5367	4171
1688	5371	4169
